Name;Pseudomonas_brassicacearum_strain_3Re2_7_3Re2_7 ;Pseudomonas_brassicacearum_strain_51MFCVI2 ;Pseudomonas_brassicacearum_strain_BS3663_BS3663 ;Pseudomonas_brassicacearum_strain_L13_6_12_L13_6_12 ;Pseudomonas_brassicacearum_strain_LBUM300_LBUM300 ;Pseudomonas_brassicacearum_strain_NFM421_NFM421 ;Pseudomonas_brassicacearum_strain_PA1G7 ;Pseudomonas_brassicacearum_strain_PP1_210F ;Pseudomonas_brassicacearum_strain_TM1A3 
Chromosomal replication initiator protein DnaA;1;1;1;1;1;1;1;1;1
DNA polymerase III subunit beta;1;1;1;1;1;1;1;1;1
DNA replication and repair protein RecF;1;1;1;1;1;1;1;1;1
DNA gyrase subunit B;1;1;1;1;1;1;1;1;1
GABA permease;1;1;1;1;1;1;1;1;1
Transcriptional regulatory protein CseB;1;1;1;1;1;1;1;1;1
Sensor histidine kinase YycG;1;1;1;1;1;1;1;1;1
1-acyl-sn-glycerol-3-phosphate acyltransferase;1;1;1;1;1;1;1;1;1
D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase;1;1;1;1;1;1;1;1;1
Glycine--tRNA ligase beta subunit;1;1;1;1;1;1;1;1;1
Glycine--tRNA ligase alpha subunit;1;1;1;1;1;1;1;1;1
DNA-3-methyladenine glycosylase 1;1;1;1;1;1;1;1;1;1
Lipid A biosynthesis lauroyl acyltransferase;1;1;1;1;1;1;1;1;1
4-methylaminobutanoate oxidase (formaldehyde-forming);1;1;1;1;1;1;1;1;1
Methyl-accepting chemotaxis protein McpS;1;1;1;1;1;1;1;1;1
Glyoxalase-like domain protein;1;1;1;1;1;1;1;1;1
D-beta-hydroxybutyrate dehydrogenase;1;1;1;1;1;1;1;1;1
Organic hydroperoxide resistance protein OhrB;1;1;1;1;1;1;1;1;1
putative diguanylate cyclase YedQ;1;1;1;1;1;1;1;1;1
HD domain protein;1;1;1;1;1;1;1;1;1
N-methyltryptophan oxidase;1;1;1;1;1;1;1;1;1
thiamine transporter substrate binding subunit;1;1;1;1;1;1;1;1;1
Phosphonoacetaldehyde hydrolase;1;1;1;1;1;1;1;1;1
Molybdenum transport system permease protein ModB;1;1;1;1;1;1;1;1;1
Sulfate/thiosulfate import ATP-binding protein CysA;1;1;1;1;1;1;1;1;1
HTH-type transcriptional activator CmpR;1;1;1;1;1;1;1;1;1
D-methionine-binding lipoprotein MetQ precursor;1;1;1;1;1;1;1;1;1
Methionine import system permease protein MetP;1;1;1;1;1;1;1;1;1
Methionine import ATP-binding protein MetN;1;1;1;1;1;1;1;1;1
Catalase HPII;1;1;1;1;1;1;1;1;1
High-affinity zinc uptake system membrane protein ZnuB;1;1;1;1;1;1;1;1;1
Zinc import ATP-binding protein ZnuC;1;1;1;1;1;1;1;1;1
Zinc uptake regulation protein;1;1;1;1;1;1;1;1;1
High-affinity zinc uptake system protein ZnuA precursor;1;1;1;1;1;1;1;1;1
Homoserine kinase;1;1;1;1;1;1;1;1;1
DNA polymerase I;1;1;1;1;1;1;1;1;1
putative GTP-binding protein EngB;1;1;1;1;1;1;1;1;1
Cytochrome c5;1;1;1;1;1;1;1;1;1
Cytochrome c4 precursor;1;1;1;1;1;1;1;1;1
Thiol:disulfide interchange protein DsbA precursor;1;1;1;1;1;1;1;1;1
Response regulator PleD;1;1;1;1;1;1;1;1;1
N-acetylmuramoyl-L-alanine amidase AmiD precursor;1;1;1;1;1;1;1;1;1
putative membrane protein YjcC;1;1;1;1;1;1;1;1;1
Alginate biosynthesis sensor protein KinB;1;1;1;1;1;1;1;1;1
Alginate biosynthesis transcriptional regulatory protein AlgB;1;1;1;1;1;1;1;1;1
Inhibitor of vertebrate lysozyme precursor;1;1;1;1;1;1;1;1;1
Proton glutamate symport protein;1;1;1;1;1;1;1;1;1
Spore maturation protein B;1;1;1;1;1;1;1;1;1
mce related protein;1;1;1;1;1;1;1;1;1
putative ABC transporter ATP-binding protein;1;1;1;1;1;1;1;1;1
putative phospholipid ABC transporter permease protein MlaE;1;1;1;1;1;1;1;1;1
Peptidase M16 inactive domain protein;1;1;1;1;1;1;1;1;1
Na+/Pi-cotransporter;1;1;1;1;1;1;1;1;1
Integral membrane protein TerC family protein;1;1;1;1;1;1;1;1;1
Citrate transporter;1;1;1;1;1;1;1;1;1
Dopa 4,5-dioxygenase family;1;1;1;1;1;1;1;1;1
Glycine cleavage system transcriptional activator;1;1;1;1;1;1;1;1;1
Choline-sulfatase;1;1;1;1;1;1;1;1;1
Glycine betaine/carnitine transport binding protein GbuC precursor;1;1;1;1;1;1;1;1;1
C4-dicarboxylic acid transporter DauA;1;1;1;1;1;1;1;1;1
Shikimate dehydrogenase;1;1;1;1;1;1;1;1;1
Coproporphyrinogen-III oxidase, aerobic;1;1;1;1;1;1;1;1;1
Quinone oxidoreductase 1;1;1;1;1;1;1;1;1;1
Threonylcarbamoyl-AMP synthase;1;1;1;1;1;1;1;1;1
LysM domain/BON superfamily protein;1;1;1;1;1;1;1;1;1
Peptide deformylase;1;1;1;1;1;1;1;1;1
Methionyl-tRNA formyltransferase;1;1;1;1;1;1;1;1;1
Ribosomal RNA small subunit methyltransferase B;1;1;1;1;1;1;1;1;1
Trk system potassium uptake protein TrkA;1;1;1;1;1;1;1;1;1
Tetratricopeptide repeat protein;1;1;1;1;1;1;1;1;1
Poly(beta-D-mannuronate) C5 epimerase 5;1;1;1;1;1;1;1;1;1
Protoheme IX farnesyltransferase;1;1;1;1;1;1;1;1;1
Heme A synthase;1;1;1;1;1;1;1;1;1
SURF1 family protein;1;1;1;1;1;1;1;1;1
Cytochrome c oxidase subunit 3;1;1;1;1;1;1;1;1;1
Cytochrome c oxidase assembly protein CtaG;1;1;1;1;1;1;1;1;1
Cytochrome c oxidase subunit 1;1;1;1;1;1;1;1;1;1
Cytochrome c oxidase subunit 2 precursor;1;1;1;1;1;1;1;1;1
C4-dicarboxylic acid transporter DauA;1;1;1;1;1;1;1;1;1
Carbonic anhydrase 1;1;1;1;1;1;1;1;1;1
Radical SAM superfamily protein;1;1;1;1;1;1;1;1;1
Tyrosine phosphatase family protein;1;1;1;1;1;1;1;1;1
Oligopeptidase A;1;1;1;1;1;1;1;1;1
Oligopeptidase A;1;1;1;1;1;1;1;1;1
