Pseudomonas_brassicacearum_subsp_brassicacearum_NFM421,Pseudomonas_brassicacearum_3Re2-7,Pseudomonas_brassicacearum_51MFCVI2.1,Pseudomonas_brassicacearum_PP1_210F,Pseudomonas_brassicacearum_strain_36B7,Pseudomonas_brassicacearum_strain_36D4,Pseudomonas_brassicacearum_strain_37D10,Pseudomonas_brassicacearum_strain_38D4,Pseudomonas_brassicacearum_strain_38D7,Pseudomonas_brassicacearum_strain_48H11,Pseudomonas_brassicacearum_strain_93F8,Pseudomonas_brassicacearum_BS3663,Pseudomonas_brassicacearum_strain_DF41,Pseudomonas_brassicacearum_strain_Delaware,Pseudomonas_brassicacearum_strain_L13-6-12,Pseudomonas_brassicacearum_strain_LBUM300,Pseudomonas_brassicacearum_strain_LZ-4,Pseudomonas_brassicacearum_strain_PA1G7,Pseudomonas_brassicacearum_strain_TM1A3,Pseudomonas_brassicacearum_strain_Wood1,Pseudomonas_brassicacearum_strain_Wood3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
