3Re2_7 ; ;51MFCVI2 ; ;BS3663 ; ;L13_6_12 ; ;LBUM300 ; ;NFM421 ; ;PA1G7 ; ;PP1_210F ; ;TM1A3 ; 
Pbr-3Re2-7_00005;Chromosomal replication initiator protein DnaA;Pbr-51MFCVI2_22275;Chromosomal replication initiator protein DnaA;Pbr-BS3663_22280;Chromosomal replication initiator protein DnaA;Pbr-L13-6-12_16590;Chromosomal replication initiator protein DnaA;Pbr-LBUM300_00640;Chromosomal replication initiator protein DnaA;Pbr-NFM421_00005;Chromosomal replication initiator protein DnaA;Pbr-PA1G7_21020;Chromosomal replication initiator protein DnaA;Pbr-PP1_210F_02625;Chromosomal replication initiator protein DnaA;Pbr-TM1A3_00415;Chromosomal replication initiator protein DnaA
Pbr-3Re2-7_00010;DNA polymerase III subunit beta;Pbr-51MFCVI2_22270;DNA polymerase III subunit beta;Pbr-BS3663_22285;DNA polymerase III subunit beta;Pbr-L13-6-12_16585;DNA polymerase III subunit beta;Pbr-LBUM300_00645;DNA polymerase III subunit beta;Pbr-NFM421_00010;DNA polymerase III subunit beta;Pbr-PA1G7_21025;DNA polymerase III subunit beta;Pbr-PP1_210F_02620;DNA polymerase III subunit beta;Pbr-TM1A3_00420;DNA polymerase III subunit beta
Pbr-3Re2-7_00015;DNA replication and repair protein RecF;Pbr-51MFCVI2_22265;DNA replication and repair protein RecF;Pbr-BS3663_22290;DNA replication and repair protein RecF;Pbr-L13-6-12_16580;DNA replication and repair protein RecF;Pbr-LBUM300_00650;DNA replication and repair protein RecF;Pbr-NFM421_00015;DNA replication and repair protein RecF;Pbr-PA1G7_21030;DNA replication and repair protein RecF;Pbr-PP1_210F_02615;DNA replication and repair protein RecF;Pbr-TM1A3_00425;DNA replication and repair protein RecF
Pbr-3Re2-7_00020;DNA gyrase subunit B;Pbr-51MFCVI2_22260;DNA gyrase subunit B;Pbr-BS3663_22295;DNA gyrase subunit B;Pbr-L13-6-12_16575;DNA gyrase subunit B;Pbr-LBUM300_00655;DNA gyrase subunit B;Pbr-NFM421_00020;DNA gyrase subunit B;Pbr-PA1G7_21035;DNA gyrase subunit B;Pbr-PP1_210F_02610;DNA gyrase subunit B;Pbr-TM1A3_00430;DNA gyrase subunit B
Pbr-3Re2-7_00025;GABA permease;Pbr-51MFCVI2_22255;GABA permease;Pbr-BS3663_22300;GABA permease;Pbr-L13-6-12_16570;GABA permease;Pbr-LBUM300_00660;GABA permease;Pbr-NFM421_00040;GABA permease;Pbr-PA1G7_21040;GABA permease;Pbr-PP1_210F_02605;GABA permease;Pbr-TM1A3_00435;GABA permease
Pbr-3Re2-7_00030;Transcriptional regulatory protein CseB;Pbr-51MFCVI2_22250;Transcriptional regulatory protein CseB;Pbr-BS3663_22305;Transcriptional regulatory protein CseB;Pbr-L13-6-12_16565;Transcriptional regulatory protein CseB;Pbr-LBUM300_00665;Transcriptional regulatory protein CseB;Pbr-NFM421_00045;Transcriptional regulatory protein CseB;Pbr-PA1G7_21045;Transcriptional regulatory protein CseB;Pbr-PP1_210F_02600;Transcriptional regulatory protein CseB;Pbr-TM1A3_00440;Transcriptional regulatory protein CseB
Pbr-3Re2-7_00035;Sensor histidine kinase YycG;Pbr-51MFCVI2_22245;Sensor histidine kinase YycG;Pbr-BS3663_22310;Sensor histidine kinase YycG;Pbr-L13-6-12_16560;Sensor histidine kinase YycG;Pbr-LBUM300_00670;Sensor histidine kinase YycG;Pbr-NFM421_00050;Sensor histidine kinase YycG;Pbr-PA1G7_21050;Sensor histidine kinase YycG;Pbr-PP1_210F_02595;Sensor histidine kinase YycG;Pbr-TM1A3_00445;Sensor histidine kinase YycG
Pbr-3Re2-7_00040;1-acyl-sn-glycerol-3-phosphate acyltransferase;Pbr-51MFCVI2_22240;1-acyl-sn-glycerol-3-phosphate acyltransferase;Pbr-BS3663_22315;1-acyl-sn-glycerol-3-phosphate acyltransferase;Pbr-L13-6-12_16555;1-acyl-sn-glycerol-3-phosphate acyltransferase;Pbr-LBUM300_00675;1-acyl-sn-glycerol-3-phosphate acyltransferase;Pbr-NFM421_00055;1-acyl-sn-glycerol-3-phosphate acyltransferase;Pbr-PA1G7_21055;1-acyl-sn-glycerol-3-phosphate acyltransferase;Pbr-PP1_210F_02590;1-acyl-sn-glycerol-3-phosphate acyltransferase;Pbr-TM1A3_00450;1-acyl-sn-glycerol-3-phosphate acyltransferase
Pbr-3Re2-7_00045;D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase;Pbr-51MFCVI2_22235;D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase;Pbr-BS3663_22320;D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase;Pbr-L13-6-12_16550;D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase;Pbr-LBUM300_00680;D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase;Pbr-NFM421_00060;D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase;Pbr-PA1G7_21060;D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase;Pbr-PP1_210F_02585;D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase;Pbr-TM1A3_00455;D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
