Pseudomonas_brassicacearum_subsp_brassicacearum_NFM421,Pseudomonas_brassicacearum_3Re2_7,Pseudomonas_brassicacearum_51MFCVI2_1,Pseudomonas_brassicacearum_PP1_210F,Pseudomonas_brassicacearum_strain_36B7,Pseudomonas_brassicacearum_strain_36D4,Pseudomonas_brassicacearum_strain_93F8,Pseudomonas_brassicacearum_strain_BS3663_chromosome_I,Pseudomonas_brassicacearum_strain_DF41,Pseudomonas_brassicacearum_strain_Delaware,Pseudomonas_brassicacearum_strain_L13_6_12,Pseudomonas_brassicacearum_strain_LBUM300,Pseudomonas_brassicacearum_strain_LZ_4,Pseudomonas_brassicacearum_strain_PA1G7,Pseudomonas_brassicacearum_strain_TM1A3,Pseudomonas_brassicacearum_strain_Wood1,Pseudomonas_brassicacearum_strain_Wood3
"PSEBR_a1,Chromosomal replication initiator protein","ELZ14_00005,chromosomal replication initiator protein DnaA","PSBVI21_RS0128200,chromosomal replication initiator protein DnaA","P908_RS02590,chromosomal replication initiator protein DnaA","BK653_19265,chromosomal replication initiation protein DnaA","BK654_05600,chromosomal replication initiation protein DnaA","BK655_21240,chromosomal replication initiation protein DnaA","SAMN04490180_4634,chromosomal replication initiator protein DnaA","CD58_00005,chromosomal replication initiation protein","BK657_13790,chromosomal replication initiation protein DnaA","A0U95_16275,chromosomal replication initiation protein DnaA","AK973_0114,Chromosomal replication initiator protein DnaA","LZ4_RS25050,chromosomal replication initiator protein DnaA","AW28_RS20620,chromosomal replication initiator protein DnaA","AD658_RS00405,chromosomal replication initiator protein DnaA","BK656_22530,chromosomal replication initiation protein DnaA","BK652_17055,chromosomal replication initiation protein DnaA"
"PSEBR_a2,DNA polymerase III subunit beta","ELZ14_00010,DNA polymerase III subunit beta","PSBVI21_RS0128195,DNA polymerase III subunit beta","P908_RS02585,DNA polymerase III subunit beta","BK653_19270,DNA polymerase III subunit beta","BK654_05595,DNA polymerase III subunit beta","BK655_21245,DNA polymerase III subunit beta","SAMN04490180_4635,DNA polymerase III, beta subunit","CD58_00010,DNA polymerase III subunit beta","BK657_13785,DNA polymerase III subunit beta","A0U95_16270,DNA polymerase III subunit beta","AK973_0115,DNA polymerase III beta subunit","LZ4_RS25055,DNA polymerase III subunit beta","AW28_RS20625,DNA polymerase III subunit beta","AD658_RS00410,DNA polymerase III subunit beta","BK656_22535,DNA polymerase III subunit beta","BK652_17060,DNA polymerase III subunit beta"
"PSEBR_a3,DNA replication and repair protein","ELZ14_00015,DNA replication/repair protein RecF","PSBVI21_RS0128190,DNA replication/repair protein RecF","P908_RS02580,DNA replication/repair protein RecF","BK653_19275,DNA replication/repair protein RecF","BK654_05590,DNA replication/repair protein RecF","BK655_21250,DNA replication/repair protein RecF","SAMN04490180_4636,DNA replication and repair protein RecF","CD58_00015,recombinase RecF","BK657_13780,DNA replication/repair protein RecF","A0U95_16265,DNA replication/repair protein RecF","AK973_0116,DNA recombination and repair protein RecF","LZ4_RS25060,DNA replication/repair protein RecF","AW28_RS20630,DNA replication/repair protein RecF","AD658_RS00415,DNA replication/repair protein RecF","BK656_22540,DNA replication/repair protein RecF","BK652_17065,DNA replication/repair protein RecF"
"PSEBR_a4,DNA gyrase subunit B","ELZ14_00020,DNA topoisomerase (ATP-hydrolyzing) subunit B","PSBVI21_RS0128185,DNA topoisomerase (ATP-hydrolyzing) subunit B","P908_RS02575,DNA topoisomerase (ATP-hydrolyzing) subunit B","BK653_19280,DNA gyrase subunit B","BK654_05585,DNA gyrase subunit B","BK655_21255,DNA gyrase subunit B","SAMN04490180_4637,DNA gyrase subunit B","CD58_00020,DNA gyrase subunit B","BK657_13775,DNA gyrase subunit B","A0U95_16260,DNA gyrase subunit B","AK973_0117,DNA gyrase subunit B","LZ4_RS25065,DNA topoisomerase (ATP-hydrolyzing) subunit B","AW28_RS20635,DNA topoisomerase (ATP-hydrolyzing) subunit B","AD658_RS00420,DNA topoisomerase (ATP-hydrolyzing) subunit B","BK656_22545,DNA gyrase subunit B","BK652_17070,DNA gyrase subunit B"
"PSEBR_a7,Putative response regulator, OmpR family","ELZ14_00030,response regulator transcription factor","PSBVI21_RS0128175,response regulator transcription factor","P908_RS02565,response regulator transcription factor","BK653_19290,DNA-binding response regulator","BK654_05560,DNA-binding response regulator","BK655_21265,DNA-binding response regulator","SAMN04490180_4639,DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain","CD58_00030,transcriptional regulator","BK657_13765,DNA-binding response regulator","A0U95_16250,DNA-binding response regulator","AK973_0119,Two-component response regulator","LZ4_RS25070,response regulator transcription factor","AW28_RS20645,response regulator transcription factor","AD658_RS00430,response regulator transcription factor","BK656_22555,DNA-binding response regulator","BK652_17080,DNA-binding response regulator"
"PSEBR_a8,Putative histidine kinase, Classic","ELZ14_00035,HAMP domain-containing histidine kinase","PSBVI21_RS0128170,PAS domain-containing sensor histidine kinase","P908_RS02560,HAMP domain-containing histidine kinase","BK653_19295,histidine kinase","BK654_05555,histidine kinase","BK655_21270,histidine kinase","SAMN04490180_4640,Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase","CD58_00035,histidine kinase","BK657_13760,histidine kinase","A0U95_16245,histidine kinase","AK973_0120,Signal transduction histidine kinase","LZ4_RS25075,HAMP domain-containing histidine kinase","AW28_RS20650,HAMP domain-containing histidine kinase","AD658_RS00435,HAMP domain-containing histidine kinase","BK656_22560,histidine kinase","BK652_17085,histidine kinase"
"PSEBR_a9,Putative acyltransferase","ELZ14_00040,1-acyl-sn-glycerol-3-phosphate acyltransferase","PSBVI21_RS0128165,1-acyl-sn-glycerol-3-phosphate acyltransferase","P908_RS02555,1-acyl-sn-glycerol-3-phosphate acyltransferase","BK653_19300,1-acyl-sn-glycerol-3-phosphate acyltransferase","BK654_05550,1-acyl-sn-glycerol-3-phosphate acyltransferase","BK655_21275,1-acyl-sn-glycerol-3-phosphate acyltransferase","SAMN04490180_4641,1-acyl-sn-glycerol-3-phosphate acyltransferase","CD58_00040,glycerol acyltransferase","BK657_13755,1-acyl-sn-glycerol-3-phosphate acyltransferase","A0U95_16240,glycerol acyltransferase","AK973_0121,1-acyl-sn-glycerol-3-phosphate acyltransferase","LZ4_RS25080,1-acyl-sn-glycerol-3-phosphate acyltransferase","AW28_RS20655,1-acyl-sn-glycerol-3-phosphate acyltransferase","AD658_RS00440,1-acyl-sn-glycerol-3-phosphate acyltransferase","BK656_22565,1-acyl-sn-glycerol-3-phosphate acyltransferase","BK652_17090,1-acyl-sn-glycerol-3-phosphate acyltransferase"
"PSEBR_a10,DD-heptose 17-bisphosphate phosphatase","ELZ14_00045,D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase","PSBVI21_RS0128160,D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase","P908_RS02550,D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase","BK653_19305,D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase","BK654_05545,D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase","BK655_21280,D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase","SAMN04490180_4642,D-alpha,beta-D-heptose 1,7-bisphosphate phosphatase","CD58_00045,histidinol phosphatase","BK657_13750,D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase","A0U95_16235,histidinol-phosphatase","AK973_0122,D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase","LZ4_RS25085,D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase","AW28_RS20660,D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase","AD658_RS00445,D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase","BK656_22570,D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase","BK652_17095,D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase"
"PSEBR_a11,Glycine--tRNA ligase, beta subunit (Glycyl-tRNA synthetase)","ELZ14_00050,glycine--tRNA ligase subunit beta","PSBVI21_RS0128155,glycine--tRNA ligase subunit beta","P908_RS02545,glycine--tRNA ligase subunit beta","BK653_19310,glycine--tRNA ligase subunit beta","BK654_05540,glycine--tRNA ligase subunit beta","BK655_21285,glycine--tRNA ligase subunit beta","SAMN04490180_4643,glycyl-tRNA synthetase beta chain","CD58_00050,glycine-tRNA synthetase subunit beta","BK657_13745,glycine--tRNA ligase subunit beta","A0U95_16230,glycine--tRNA ligase subunit beta","AK973_0123,Glycyl-tRNA synthetase beta chain","LZ4_RS25090,glycine--tRNA ligase subunit beta","AW28_RS20665,glycine--tRNA ligase subunit beta","AD658_RS00450,glycine--tRNA ligase subunit beta","BK656_22575,glycine--tRNA ligase subunit beta","BK652_17100,glycine--tRNA ligase subunit beta"
